,building_id,meter,timestamp,meter_reading
0,0,0,2016-01-01 00:00:00,0.0
1,1,0,2016-01-01 00:00:00,0.0
2,2,0,2016-01-01 00:00:00,0.0
3,3,0,2016-01-01 00:00:00,0.0
4,4,0,2016-01-01 00:00:00,0.0
5,5,0,2016-01-01 00:00:00,0.0
6,6,0,2016-01-01 00:00:00,0.0
7,7,0,2016-01-01 00:00:00,0.0
8,8,0,2016-01-01 00:00:00,0.0
9,9,0,2016-01-01 00:00:00,0.0
10,10,0,2016-01-01 00:00:00,0.0
11,11,0,2016-01-01 00:00:00,0.0
12,12,0,2016-01-01 00:00:00,0.0
13,13,0,2016-01-01 00:00:00,0.0
14,14,0,2016-01-01 00:00:00,0.0
15,15,0,2016-01-01 00:00:00,0.0
16,16,0,2016-01-01 00:00:00,0.0
17,17,0,2016-01-01 00:00:00,0.0
18,18,0,2016-01-01 00:00:00,0.0
19,19,0,2016-01-01 00:00:00,0.0
20,20,0,2016-01-01 00:00:00,0.0
21,21,0,2016-01-01 00:00:00,0.0
22,22,0,2016-01-01 00:00:00,0.0
23,23,0,2016-01-01 00:00:00,0.0
24,24,0,2016-01-01 00:00:00,0.0
25,25,0,2016-01-01 00:00:00,0.0
26,26,0,2016-01-01 00:00:00,0.0
27,27,0,2016-01-01 00:00:00,0.0
28,28,0,2016-01-01 00:00:00,0.0
29,30,0,2016-01-01 00:00:00,0.0
30,31,0,2016-01-01 00:00:00,0.0
31,32,0,2016-01-01 00:00:00,0.0
32,33,0,2016-01-01 00:00:00,0.0
33,34,0,2016-01-01 00:00:00,0.0
34,35,0,2016-01-01 00:00:00,0.0
35,36,0,2016-01-01 00:00:00,0.0
36,37,0,2016-01-01 00:00:00,0.0
37,38,0,2016-01-01 00:00:00,0.0
38,39,0,2016-01-01 00:00:00,0.0
39,40,0,2016-01-01 00:00:00,0.0
40,41,0,2016-01-01 00:00:00,0.0
41,42,0,2016-01-01 00:00:00,0.0
42,43,0,2016-01-01 00:00:00,0.0
43,44,0,2016-01-01 00:00:00,0.0
44,45,0,2016-01-01 00:00:00,0.0
45,46,0,2016-01-01 00:00:00,53.2397
46,47,0,2016-01-01 00:00:00,0.0
47,49,0,2016-01-01 00:00:00,0.0
48,50,0,2016-01-01 00:00:00,0.0
49,51,0,2016-01-01 00:00:00,0.0
50,52,0,2016-01-01 00:00:00,0.0
51,53,0,2016-01-01 00:00:00,0.0
52,54,0,2016-01-01 00:00:00,0.0
53,55,0,2016-01-01 00:00:00,0.0
54,56,0,2016-01-01 00:00:00,0.0
55,57,0,2016-01-01 00:00:00,0.0
56,58,0,2016-01-01 00:00:00,0.0
57,59,0,2016-01-01 00:00:00,0.0
58,60,0,2016-01-01 00:00:00,0.0
59,61,0,2016-01-01 00:00:00,0.0
60,62,0,2016-01-01 00:00:00,0.0
61,63,0,2016-01-01 00:00:00,0.0
62,64,0,2016-01-01 00:00:00,0.0
63,65,0,2016-01-01 00:00:00,0.0
64,66,0,2016-01-01 00:00:00,0.0
65,67,0,2016-01-01 00:00:00,0.0
66,68,0,2016-01-01 00:00:00,0.0
67,69,0,2016-01-01 00:00:00,0.0
68,70,0,2016-01-01 00:00:00,0.0
69,71,0,2016-01-01 00:00:00,0.0
70,72,0,2016-01-01 00:00:00,0.0
71,73,0,2016-01-01 00:00:00,0.0
72,74,0,2016-01-01 00:00:00,43.0013
73,75,0,2016-01-01 00:00:00,0.0
74,76,0,2016-01-01 00:00:00,0.0
75,77,0,2016-01-01 00:00:00,0.0
76,78,0,2016-01-01 00:00:00,0.0
77,79,0,2016-01-01 00:00:00,0.0
78,80,0,2016-01-01 00:00:00,0.0
79,81,0,2016-01-01 00:00:00,0.0
80,82,0,2016-01-01 00:00:00,0.0
81,83,0,2016-01-01 00:00:00,0.0
82,84,0,2016-01-01 00:00:00,0.0
83,85,0,2016-01-01 00:00:00,0.0
84,86,0,2016-01-01 00:00:00,0.0
85,87,0,2016-01-01 00:00:00,0.0
86,88,0,2016-01-01 00:00:00,0.0
87,89,0,2016-01-01 00:00:00,0.0
88,90,0,2016-01-01 00:00:00,0.0
89,91,0,2016-01-01 00:00:00,0.0
90,92,0,2016-01-01 00:00:00,0.0
91,93,0,2016-01-01 00:00:00,52.4206
92,94,0,2016-01-01 00:00:00,0.0
93,95,0,2016-01-01 00:00:00,0.0
94,96,0,2016-01-01 00:00:00,0.0
95,97,0,2016-01-01 00:00:00,0.0
96,98,0,2016-01-01 00:00:00,0.0
97,99,0,2016-01-01 00:00:00,0.0
98,100,0,2016-01-01 00:00:00,0.0
99,101,0,2016-01-01 00:00:00,0.0
100,102,0,2016-01-01 00:00:00,0.0
101,103,0,2016-01-01 00:00:00,0.0
102,104,0,2016-01-01 00:00:00,0.0
103,105,0,2016-01-01 00:00:00,23.3036
104,106,0,2016-01-01 00:00:00,0.3746
105,106,3,2016-01-01 00:00:00,0.0
106,107,0,2016-01-01 00:00:00,175.18400000000003
107,108,0,2016-01-01 00:00:00,91.2653
108,109,0,2016-01-01 00:00:00,80.93
109,109,3,2016-01-01 00:00:00,0.0
110,110,0,2016-01-01 00:00:00,86.2283
111,111,0,2016-01-01 00:00:00,167.392
112,112,0,2016-01-01 00:00:00,10.2748
113,112,3,2016-01-01 00:00:00,96.978
114,113,0,2016-01-01 00:00:00,159.643
115,113,3,2016-01-01 00:00:00,19.597
116,114,0,2016-01-01 00:00:00,324.75
117,114,3,2016-01-01 00:00:00,100.0
118,115,0,2016-01-01 00:00:00,201.543
119,116,0,2016-01-01 00:00:00,69.3
120,117,0,2016-01-01 00:00:00,16.3061
121,117,3,2016-01-01 00:00:00,19.6809
